name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Jailton Almeida,50,93,2.0,9,3.48,0.49,6.27,2.09,0.13,0.5,0.0,4.78,0.06,0.0,0.94,0.38,0.0,0.63,47.0,2.0,1.0,16,2,0,0.8888888888888888,0.5376344086021505,0.2222222222222222,18
Jaime Alvarez,41,102,0.0,3,2.73,4.53,1.0,0.0,0.57,0.5,0.0,15.0,0.63,0.0,0.37,0.57,0.29,0.14,24.0,6.0,11.0,7,1,0,0.875,0.4019607843137255,0.0,8
Eddie Alvarez,556,1342,12.0,68,4.32,4.39,2.92,0.47,0.56,0.93,0.47,9.88,0.69,0.18,0.12,0.58,0.19,0.23,370.0,130.0,56.0,29,6,0,0.8285714285714286,0.4143070044709389,0.1764705882352941,35
Amilcar Alves,14,30,0.0,1,0.5,2.02,0.0,0.0,0.3,0.53,0.0,14.1,0.5,0.21,0.29,0.0,0.0,0.0,8.0,4.0,2.0,11,3,0,0.7857142857142857,0.4666666666666667,0.0,14
Warlley Alves,391,811,8.0,23,3.07,3.63,1.42,1.06,0.51,0.79,0.35,9.78,0.74,0.17,0.09,0.27,0.27,0.47,213.0,99.0,79.0,15,5,0,0.75,0.4821208384710234,0.3478260869565217,20
Megan Anderson,51,110,0.0,4,1.76,3.35,0.52,0.52,0.37,0.54,0.52,4.82,0.61,0.2,0.2,0.55,0.18,0.27,35.0,15.0,1.0,11,5,0,0.6875,0.4636363636363636,0.0,16
Eryk Anders,560,1191,6.0,71,3.26,4.2,1.57,0.09,0.5,0.75,0.52,12.27,0.62,0.22,0.16,0.57,0.36,0.07,404.0,127.0,29.0,14,7,0,0.6666666666666666,0.470193115029387,0.0845070422535211,21
Makwan Amirkhani,161,363,12.0,76,1.35,2.98,4.15,1.13,0.47,0.38,0.13,9.18,0.65,0.0,0.35,0.06,0.24,0.71,141.0,13.0,7.0,17,8,0,0.68,0.443526170798898,0.1578947368421052,25
Rafael Alves,89,177,0.0,4,2.46,4.14,0.41,1.24,0.58,0.6,0.41,9.05,0.91,0.03,0.06,0.35,0.25,0.4,53.0,20.0,16.0,20,11,0,0.6451612903225806,0.5028248587570622,0.0,31
Sam Alvey,758,1703,1.0,7,3.28,3.63,0.06,0.06,0.53,0.82,0.45,9.63,0.76,0.2,0.04,0.58,0.33,0.09,511.0,116.0,131.0,33,18,1,0.6346153846153846,0.4450968878449794,0.1428571428571428,52
Thiago Alves,1106,2648,13.0,23,3.73,3.42,0.71,0.3,0.63,0.63,0.66,10.98,0.78,0.11,0.1,0.46,0.5,0.04,569.0,150.0,387.0,28,15,0,0.6511627906976745,0.4176737160120846,0.5652173913043478,43
Jessica Andrade,1231,2452,33.0,69,6.16,5.16,2.85,0.45,0.53,0.66,0.23,9.52,0.63,0.21,0.15,0.39,0.26,0.35,798.0,315.0,118.0,23,9,0,0.71875,0.5020391517128875,0.4782608695652174,32
Reese Andy,64,126,0.0,5,2.87,3.5,0.67,0.0,0.59,0.4,0.0,11.17,0.73,0.25,0.02,0.0,0.0,0.0,28.0,5.0,31.0,7,3,0,0.7,0.5079365079365079,0.0,10
Corey Anderson,721,1558,52.0,106,4.43,2.22,4.89,0.0,0.59,0.83,0.09,10.85,0.59,0.16,0.25,0.36,0.64,0.0,561.0,105.0,55.0,14,5,0,0.7368421052631579,0.462772785622593,0.490566037735849,19
Collin Anglin,121,249,0.0,6,4.59,5.54,2.28,0.0,0.51,1.0,0.0,8.78,0.8,0.14,0.06,0.63,0.38,0.0,92.0,19.0,10.0,8,3,0,0.7272727272727273,0.4859437751004016,0.0,11
Aoriqileng,218,464,4.0,8,6.65,7.77,2.29,0.0,0.49,0.55,0.46,10.93,0.83,0.04,0.13,0.3,0.61,0.09,149.0,54.0,15.0,23,11,0,0.6764705882352942,0.4698275862068966,0.5,34
Shinsho Anzai,106,182,4.0,25,3.23,3.75,1.83,0.0,0.46,0.75,0.0,8.2,0.56,0.42,0.02,0.7,0.3,0.0,74.0,23.0,9.0,10,2,0,0.8333333333333334,0.5824175824175825,0.16,12
Wang Anying,13,50,0.0,0,1.32,1.63,0.0,0.0,0.45,0.33,0.0,4.92,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,2,2,0,0.5,0.26,0.0,4
Adam Antolin,86,165,0.0,7,5.73,5.0,0.0,0.0,0.69,1.0,0.0,5.75,0.86,0.14,0.0,0.15,0.15,0.69,37.0,30.0,19.0,13,3,0,0.8125,0.5212121212121212,0.0,16
Nina Nunes,503,1067,2.0,5,4.64,3.5,0.28,0.55,0.54,0.76,0.0,13.55,0.85,0.09,0.06,0.4,0.4,0.2,289.0,90.0,124.0,10,7,0,0.5882352941176471,0.4714151827553889,0.4,17
Chad Anheliger,114,208,0.0,3,3.99,3.33,0.0,1.58,0.5,0.53,1.58,14.28,0.56,0.19,0.25,0.58,0.17,0.25,85.0,17.0,12.0,12,5,0,0.7058823529411765,0.5480769230769231,0.0,17
Andrei Arlovski,1563,3454,7.0,30,3.81,3.2,0.4,0.22,0.57,0.77,0.44,9.33,0.84,0.13,0.03,0.5,0.41,0.09,896.0,298.0,369.0,34,20,0,0.6296296296296297,0.452518818760857,0.2333333333333333,54
Garrett Armfield,21,72,0.0,2,2.56,3.53,0.0,0.0,0.6,0.67,0.0,8.22,0.95,0.05,0.0,0.63,0.0,0.38,15.0,4.0,2.0,8,3,0,0.7272727272727273,0.2916666666666667,0.0,11
Austin Arnett,311,757,1.0,11,4.52,6.38,0.44,0.22,0.62,0.57,0.0,13.77,0.86,0.09,0.06,0.44,0.25,0.31,250.0,57.0,4.0,16,6,0,0.7272727272727273,0.4108322324966975,0.0909090909090909,22
Viviane Araujo,480,998,5.0,25,4.76,5.13,2.23,0.6,0.58,0.9,0.15,14.4,0.95,0.02,0.03,0.27,0.36,0.36,346.0,78.0,56.0,11,3,0,0.7857142857142857,0.4809619238476953,0.2,14
Felipe Arantes,342,758,9.0,19,2.37,2.66,0.93,0.73,0.64,0.41,0.1,12.05,0.7,0.07,0.23,0.37,0.32,0.32,219.0,61.0,62.0,18,9,1,0.6428571428571429,0.4511873350923482,0.4736842105263157,28
Romie Aram,24,70,0.0,4,1.6,5.67,2.0,0.0,0.5,0.83,1.0,15.0,0.42,0.46,0.13,0.0,0.0,0.0,21.0,1.0,2.0,6,0,0,1.0,0.3428571428571428,0.0,6
Akbarh Arreola,97,214,0.0,3,2.32,4.01,1.07,0.36,0.57,0.33,0.72,10.47,0.72,0.04,0.24,0.22,0.04,0.74,51.0,26.0,20.0,23,9,1,0.696969696969697,0.4532710280373832,0.0,33
Antonio Arroyo,186,280,1.0,12,2.82,2.02,1.14,0.23,0.5,0.42,0.23,13.18,0.8,0.01,0.2,0.44,0.11,0.44,90.0,52.0,44.0,9,5,0,0.6428571428571429,0.6642857142857143,0.0833333333333333,14
Cyril Asker,57,146,5.0,8,3.35,5.82,4.41,0.88,0.36,1.0,0.0,3.4,0.35,0.07,0.58,0.44,0.22,0.33,51.0,6.0,0.0,9,4,0,0.6923076923076923,0.3904109589041096,0.625,13
Askar Askarov,229,424,4.0,53,3.05,2.8,2.6,0.4,0.58,0.67,0.0,15.0,0.76,0.1,0.14,0.29,0.21,0.5,176.0,24.0,29.0,14,1,1,0.875,0.5400943396226415,0.0754716981132075,16
Leonardo Augusto Leleco,70,125,0.0,0,2.35,2.99,0.0,1.01,0.45,0.53,0.0,14.88,0.56,0.17,0.27,0.27,0.18,0.55,47.0,18.0,5.0,11,3,0,0.7857142857142857,0.56,0.0,14
Olivier Aubin-Mercier,363,705,23.0,68,2.48,2.97,2.36,0.51,0.56,0.71,0.21,12.18,0.72,0.16,0.12,0.08,0.17,0.75,248.0,78.0,37.0,12,5,0,0.7058823529411765,0.5148936170212766,0.3382352941176471,17
Rich Attonito,138,288,0.0,8,2.28,2.13,0.74,0.0,0.59,0.75,0.5,12.12,0.44,0.09,0.47,0.0,0.0,0.0,91.0,25.0,22.0,10,5,0,0.6666666666666666,0.4791666666666667,0.0,15
Raphael Assuncao,867,2131,13.0,67,3.2,2.34,1.44,0.28,0.68,0.78,0.17,12.32,0.8,0.11,0.09,0.15,0.48,0.37,459.0,145.0,263.0,27,9,0,0.75,0.4068512435476302,0.1940298507462686,36
Tom Aspinall,111,169,2.0,4,7.41,2.87,4.0,2.0,0.64,1.0,2.0,2.5,0.57,0.15,0.28,0.75,0.0,0.25,72.0,17.0,22.0,12,3,0,0.8,0.6568047337278107,0.5,15
Chris Avila,71,233,0.0,1,2.37,4.17,0.0,0.0,0.49,0.46,0.0,15.0,0.85,0.13,0.03,0.6,0.2,0.2,51.0,10.0,10.0,5,4,0,0.5555555555555556,0.3047210300429184,0.0,9
Abu Azaitar,156,347,1.0,4,5.21,5.35,0.5,0.0,0.5,0.4,0.0,14.97,0.72,0.2,0.08,0.5,0.43,0.07,78.0,59.0,19.0,14,3,1,0.7777777777777778,0.4495677233429395,0.25,18
Julia Avila,142,320,0.0,6,3.18,2.86,0.67,0.34,0.56,0.62,0.34,11.17,0.73,0.21,0.06,0.44,0.33,0.22,97.0,27.0,18.0,9,2,0,0.8181818181818182,0.44375,0.0,11
Izabela Badurek,32,45,0.0,8,3.74,4.9,1.75,0.0,0.32,1.0,0.0,8.57,0.19,0.81,0.0,0.0,0.0,1.0,4.0,9.0,19.0,5,3,0,0.625,0.7111111111111111,0.0,8
Niklas Backstrom,23,55,0.0,5,1.12,3.65,2.92,2.19,0.4,0.73,0.0,6.85,0.65,0.26,0.09,0.0,0.18,0.82,12.0,6.0,5.0,8,2,0,0.8,0.4181818181818181,0.0,10
Melsik Baghdasaryan,221,356,0.0,2,6.0,3.48,0.0,0.0,0.54,0.77,0.41,12.28,0.75,0.24,0.01,0.71,0.29,0.0,106.0,85.0,30.0,3,0,0,1.0,0.6207865168539326,0.0,3
Siyar Bahadurzada,264,648,5.0,13,2.91,3.23,1.32,0.33,0.49,0.63,0.83,11.33,0.49,0.22,0.28,0.58,0.17,0.25,191.0,54.0,19.0,24,8,1,0.7272727272727273,0.4074074074074074,0.3846153846153846,33
Ignacio Bahamondes,409,856,0.0,4,8.33,5.03,0.0,0.61,0.58,0.95,0.61,12.28,0.92,0.06,0.02,0.75,0.25,0.0,245.0,86.0,78.0,13,4,0,0.7647058823529411,0.477803738317757,0.0,17
Mehdi Baghdad,61,198,0.0,1,3.13,4.56,0.0,0.0,0.46,0.33,0.77,9.75,0.89,0.05,0.07,0.73,0.0,0.27,33.0,8.0,20.0,11,4,0,0.7333333333333333,0.308080808080808,0.0,15
Miguel Baeza,332,673,1.0,7,4.88,5.1,0.44,1.77,0.54,1.0,1.1,9.72,0.86,0.05,0.08,0.7,0.2,0.1,155.0,78.0,99.0,10,3,0,0.7692307692307693,0.4933135215453195,0.1428571428571428,13
Oluwale Bamgbose,78,162,0.0,6,2.45,2.7,0.94,0.0,0.55,0.38,0.94,6.37,0.64,0.19,0.17,1.0,0.0,0.0,37.0,22.0,19.0,6,4,0,0.6,0.4814814814814814,0.0,10
Tae Hyun Bang,166,433,2.0,6,2.72,2.07,0.49,0.49,0.66,0.58,0.74,12.18,0.83,0.06,0.11,0.5,0.5,0.0,141.0,17.0,8.0,18,10,0,0.6428571428571429,0.3833718244803695,0.3333333333333333,28
Luke Barnatt,317,870,0.0,7,4.43,3.87,0.63,0.42,0.59,0.64,0.42,11.93,0.81,0.15,0.04,0.38,0.25,0.38,220.0,66.0,31.0,8,3,0,0.7272727272727273,0.364367816091954,0.0,11
Bryan Barberena,1130,2320,2.0,8,6.11,5.01,0.16,0.32,0.45,0.56,0.49,12.33,0.75,0.18,0.08,0.61,0.28,0.11,802.0,152.0,176.0,18,8,0,0.6923076923076923,0.4870689655172414,0.25,26
Maycee Barber,474,892,1.0,25,4.42,2.64,1.12,0.14,0.53,0.67,0.0,11.93,0.42,0.44,0.14,0.5,0.3,0.2,303.0,97.0,74.0,11,2,0,0.8461538461538461,0.531390134529148,0.04,13
Edson Barboza,1241,2812,7.0,18,3.96,4.1,0.38,0.1,0.59,0.75,0.67,11.6,0.93,0.03,0.04,0.59,0.36,0.05,542.0,355.0,344.0,22,11,0,0.6666666666666666,0.4413229018492176,0.3888888888888889,33
Raoni Barcelos,541,1047,3.0,23,5.98,5.64,1.66,0.5,0.61,0.93,0.66,12.93,0.76,0.06,0.18,0.5,0.38,0.13,419.0,51.0,71.0,16,3,0,0.8421052631578947,0.5167144221585482,0.1304347826086956,19
Renan Barao,952,2592,19.0,60,3.78,3.9,1.49,0.54,0.58,0.91,0.24,13.23,0.82,0.13,0.05,0.22,0.36,0.42,554.0,222.0,176.0,36,9,0,0.8,0.3672839506172839,0.3166666666666666,45
Josh Barnett,802,1575,5.0,38,3.2,2.11,1.26,1.38,0.57,0.56,0.18,9.62,0.36,0.38,0.26,0.0,0.0,0.0,454.0,284.0,64.0,35,8,0,0.813953488372093,0.5092063492063492,0.131578947368421,43
David Baron,7,16,0.0,1,0.53,3.23,0.0,1.13,0.56,0.14,0.0,13.32,0.71,0.29,0.0,0.0,0.0,0.0,5.0,2.0,0.0,14,3,0,0.8235294117647058,0.4375,0.0,17
Alexandre Barros,8,20,0.0,2,0.98,4.05,1.84,0.0,0.37,1.0,0.0,8.15,0.5,0.38,0.13,0.0,0.0,0.0,1.0,1.0,6.0,13,6,0,0.6842105263157895,0.4,0.0,19
Pat Barry,188,361,0.0,2,2.72,3.54,0.0,0.22,0.6,0.76,1.74,5.77,0.88,0.04,0.08,0.0,0.0,0.0,96.0,12.0,80.0,8,7,0,0.5333333333333333,0.5207756232686981,0.0,15
Marc-Andre Barriault,507,1087,1.0,8,5.79,5.04,0.34,0.17,0.56,0.68,0.34,10.95,0.63,0.24,0.13,0.64,0.29,0.07,374.0,71.0,62.0,14,5,0,0.7368421052631579,0.4664213431462741,0.125,19
Dean Barry,36,90,0.0,0,9.31,4.66,0.0,0.0,0.51,1.0,3.88,3.87,0.72,0.22,0.06,0.0,0.0,0.0,25.0,10.0,1.0,4,2,0,0.6666666666666666,0.4,0.0,6
Javid Basharat,159,274,0.0,5,5.45,2.53,1.54,0.51,0.65,1.0,0.0,14.6,0.61,0.07,0.32,0.42,0.08,0.5,100.0,36.0,23.0,12,0,0,1.0,0.5802919708029197,0.0,12
Enrique Barzola,587,1412,37.0,92,3.91,2.97,4.2,0.3,0.69,0.67,0.0,15.0,0.72,0.06,0.21,0.29,0.47,0.24,348.0,132.0,107.0,17,5,2,0.7083333333333334,0.4157223796033994,0.4021739130434782,24
Alan Baudot,167,285,0.0,0,5.36,4.82,0.0,0.0,0.47,0.63,0.48,7.78,0.67,0.21,0.12,0.88,0.13,0.0,123.0,29.0,15.0,8,4,0,0.6666666666666666,0.5859649122807018,0.0,12
Mario Bautista,255,529,1.0,11,5.27,3.96,2.17,0.31,0.56,0.67,0.31,8.07,0.71,0.23,0.06,0.33,0.33,0.33,171.0,54.0,30.0,10,2,0,0.8333333333333334,0.4820415879017013,0.0909090909090909,12
Bryan Battle,165,290,2.0,9,7.18,4.53,1.31,0.65,0.42,0.56,0.65,7.67,0.85,0.13,0.01,0.22,0.22,0.56,70.0,71.0,24.0,9,1,0,0.9,0.5689655172413793,0.2222222222222222,10
Joseph Benavidez,1161,3338,16.0,101,3.52,2.67,1.41,0.59,0.61,0.62,0.36,11.38,0.8,0.12,0.09,0.29,0.39,0.32,618.0,306.0,237.0,28,8,0,0.7777777777777778,0.3478130617136009,0.1584158415841584,36
Marco Beltran,134,357,3.0,6,2.07,1.93,0.7,0.23,0.63,0.46,0.23,10.78,0.59,0.22,0.19,0.25,0.25,0.5,76.0,29.0,29.0,8,7,0,0.5333333333333333,0.3753501400560224,0.5,15
Danilo Belluardo,13,21,2.0,2,1.52,4.79,3.5,0.0,0.41,0.5,0.0,4.28,0.62,0.0,0.38,0.5,0.25,0.25,9.0,0.0,4.0,12,5,0,0.7058823529411765,0.6190476190476191,1.0,17
Vitor Belfort,351,756,3.0,25,1.59,2.83,1.02,0.61,0.51,0.54,0.75,7.35,0.44,0.18,0.38,0.0,0.0,0.0,250.0,64.0,37.0,26,14,0,0.65,0.4642857142857143,0.12,40
Diana Belbita,307,724,1.0,4,6.43,6.18,0.63,0.0,0.51,0.68,0.31,11.93,0.84,0.14,0.02,0.43,0.29,0.29,172.0,75.0,60.0,14,7,0,0.6666666666666666,0.4240331491712707,0.25,21
Johnny Bedford,186,368,0.0,8,4.53,1.75,1.83,0.0,0.63,0.63,1.1,6.85,0.42,0.17,0.41,0.0,0.0,0.0,120.0,56.0,10.0,19,13,1,0.5757575757575758,0.5054347826086957,0.0,33
Gabriel Benitez,493,1217,1.0,2,4.6,3.98,0.14,1.12,0.65,0.58,0.56,8.93,0.9,0.03,0.07,0.36,0.18,0.45,258.0,133.0,102.0,22,11,0,0.6666666666666666,0.4050944946589975,0.5,33
Steve Berger,13,57,0.0,3,0.62,5.6,0.72,2.15,0.36,0.17,0.0,6.97,0.15,0.85,0.0,0.0,0.0,0.0,4.0,8.0,1.0,15,6,3,0.625,0.2280701754385964,0.0,24
Ryan Benoit,306,782,1.0,9,2.88,3.65,0.28,0.42,0.58,0.72,0.71,11.82,0.81,0.11,0.07,0.8,0.1,0.1,233.0,50.0,23.0,10,8,0,0.5555555555555556,0.391304347826087,0.1111111111111111,18
Talita Bernardo,174,413,4.0,27,3.12,4.04,1.62,0.54,0.56,0.29,0.0,13.93,0.85,0.04,0.11,0.0,0.33,0.67,106.0,24.0,44.0,6,4,0,0.6,0.4213075060532688,0.1481481481481481,10
Dennis Bermudez,870,1881,46.0,127,4.42,3.07,3.89,1.07,0.59,0.83,0.38,11.58,0.53,0.18,0.29,0.24,0.53,0.24,583.0,127.0,160.0,18,9,0,0.6666666666666666,0.4625199362041467,0.3622047244094488,27
Magomed Bibulatov,114,223,2.0,15,3.6,1.83,2.85,0.0,0.52,0.75,0.0,10.55,0.54,0.16,0.31,0.14,0.5,0.36,59.0,47.0,8.0,14,2,0,0.875,0.5112107623318386,0.1333333333333333,16
Matt Bessette,204,493,0.0,7,4.36,4.45,0.64,0.32,0.59,0.61,0.32,9.35,0.71,0.11,0.18,0.32,0.32,0.36,142.0,43.0,19.0,22,9,0,0.7096774193548387,0.4137931034482758,0.0,31
Brad Blackburn,294,827,0.0,8,4.55,3.59,0.93,0.7,0.65,0.77,1.16,12.92,0.87,0.05,0.08,0.0,0.0,0.0,181.0,44.0,69.0,15,11,1,0.5555555555555556,0.3555018137847642,0.0,27
Jason Black,10,24,0.0,1,0.44,3.55,0.0,5.92,0.45,0.29,0.0,11.42,0.2,0.3,0.5,0.0,0.0,0.0,7.0,3.0,0.0,22,4,1,0.8148148148148148,0.4166666666666667,0.0,27
Jan Błachowicz,787,1585,12.0,30,3.55,2.77,1.08,0.27,0.54,0.67,0.41,12.33,0.75,0.12,0.13,0.31,0.38,0.31,505.0,177.0,105.0,29,9,0,0.7631578947368421,0.4965299684542587,0.4,38
Michael Bisping,1610,4223,26.0,60,4.33,2.71,1.05,0.32,0.65,0.63,0.4,11.62,0.8,0.09,0.11,0.0,0.0,0.0,1166.0,202.0,242.0,31,9,0,0.775,0.3812455600284158,0.4333333333333333,40
Anthony Birchak,123,336,0.0,7,3.93,3.67,0.48,0.48,0.57,0.62,0.96,5.22,0.67,0.22,0.11,0.31,0.19,0.5,66.0,32.0,25.0,16,8,0,0.6666666666666666,0.3660714285714285,0.0,24
Erin Blanchfield,214,379,10.0,15,5.69,2.5,3.99,0.8,0.62,0.75,0.0,12.55,0.55,0.07,0.37,0.25,0.63,0.13,158.0,35.0,21.0,9,1,0,0.9,0.5646437994722955,0.6666666666666666,10
Curtis Blaydes,544,1063,33.0,115,3.54,1.7,6.05,0.0,0.6,0.33,0.2,9.62,0.45,0.13,0.41,0.71,0.29,0.0,368.0,68.0,108.0,17,3,0,0.85,0.5117591721542804,0.2869565217391304,20
Tom Blackledge,8,13,0.0,0,2.91,2.55,0.0,0.0,0.46,0.75,0.0,2.75,0.5,0.0,0.5,0.0,0.0,0.0,6.0,1.0,1.0,10,7,0,0.5882352941176471,0.6153846153846154,0.0,17
Kyle Bochniak,276,879,5.0,52,2.63,5.11,1.14,0.0,0.58,0.63,0.14,15.0,0.88,0.1,0.02,0.25,0.5,0.25,172.0,45.0,59.0,8,5,0,0.6153846153846154,0.3139931740614334,0.0961538461538461,13
Jesse Bongfeldt,58,93,0.0,6,2.91,1.01,1.51,0.0,0.5,0.33,0.0,9.95,0.26,0.16,0.59,0.0,0.0,0.0,39.0,11.0,8.0,15,5,1,0.7142857142857143,0.6236559139784946,0.0,21
Mandy Bohm,88,201,0.0,5,2.93,4.2,0.0,0.5,0.59,0.71,0.0,15.0,0.75,0.25,0.0,0.29,0.43,0.29,44.0,26.0,18.0,7,2,0,0.7777777777777778,0.4378109452736318,0.0,9
Galore Bofando,23,51,0.0,1,3.63,3.63,2.37,0.0,0.55,0.5,2.37,3.17,0.48,0.0,0.52,0.8,0.2,0.0,19.0,2.0,2.0,5,3,0,0.625,0.4509803921568627,0.0,8
Tim Boetsch,635,1253,21.0,61,2.93,2.9,1.45,0.76,0.57,0.59,0.48,9.03,0.63,0.25,0.12,0.62,0.24,0.14,364.0,161.0,110.0,21,13,0,0.6176470588235294,0.5067837190742218,0.3442622950819672,34
Caio Borralho,124,199,1.0,10,2.72,1.82,2.63,0.0,0.61,0.75,0.33,11.4,0.55,0.23,0.22,0.4,0.3,0.3,70.0,40.0,14.0,12,1,0,0.9230769230769232,0.6231155778894473,0.1,13
Tanner Boser,329,633,0.0,0,4.23,2.16,0.0,0.0,0.64,0.7,0.39,11.12,0.91,0.02,0.07,0.55,0.35,0.1,125.0,66.0,138.0,20,8,1,0.6896551724137931,0.5197472353870458,0.0,29
Viacheslav Borshchev,69,109,0.0,0,2.85,2.64,0.0,0.0,0.5,0.38,1.24,8.08,0.74,0.13,0.13,0.83,0.17,0.0,45.0,16.0,8.0,6,2,0,0.75,0.6330275229357798,0.0,8
Ray Borg,263,504,22.0,90,1.52,1.93,3.89,1.04,0.48,0.47,0.0,14.45,0.34,0.23,0.43,0.08,0.46,0.46,188.0,67.0,8.0,13,5,0,0.7222222222222222,0.5218253968253969,0.2444444444444444,18
Rogerio Bontorin,204,387,1.0,25,2.63,3.27,2.9,0.97,0.5,0.52,0.0,11.07,0.78,0.1,0.12,0.19,0.13,0.69,139.0,32.0,33.0,17,4,0,0.8095238095238095,0.5271317829457365,0.04,21
Poliana Botelho,204,348,1.0,7,2.9,2.8,0.85,0.0,0.54,0.77,0.21,10.03,0.55,0.34,0.11,0.75,0.25,0.0,104.0,63.0,37.0,8,5,0,0.6153846153846154,0.5862068965517241,0.1428571428571428,13
Steve Bosse,98,185,1.0,3,5.99,5.38,0.92,0.0,0.51,1.0,0.92,5.45,0.62,0.15,0.22,0.75,0.17,0.08,79.0,13.0,6.0,12,2,0,0.8571428571428571,0.5297297297297298,0.3333333333333333,14
Sean Brady,255,471,2.0,23,3.91,3.22,3.22,0.92,0.62,0.88,0.23,13.05,0.84,0.02,0.14,0.02,0.95,0.03,162.0,15.0,78.0,15,0,0,1.0,0.5414012738853503,0.0869565217391304,15
Ramiz Brahimaj,78,188,4.0,6,2.47,4.08,1.9,2.37,0.51,0.58,0.0,7.92,0.91,0.09,0.0,0.0,0.0,1.0,62.0,13.0,3.0,10,4,0,0.7142857142857143,0.4148936170212766,0.6666666666666666,14
Kyle Bradley,46,115,0.0,2,1.99,3.45,0.65,0.0,0.59,0.4,0.0,5.8,0.78,0.15,0.07,0.0,0.0,0.0,18.0,19.0,9.0,14,7,0,0.6666666666666666,0.4,0.0,21
Brian Bowles,178,669,0.0,10,2.36,2.98,1.39,1.39,0.64,0.55,1.0,7.53,0.67,0.18,0.15,0.0,0.0,0.0,132.0,42.0,4.0,10,3,0,0.7692307692307693,0.2660687593423019,0.0,13
Joe Brammer,40,126,0.0,2,2.15,2.8,0.81,0.0,0.57,0.5,0.0,9.3,0.8,0.2,0.0,0.0,0.0,0.0,20.0,14.0,6.0,7,2,1,0.7,0.3174603174603174,0.0,10
Chris Brennan,8,23,0.0,2,0.53,2.27,0.0,1.0,0.5,0.25,0.0,15.0,0.38,0.5,0.13,0.0,0.0,0.0,2.0,4.0,2.0,11,5,1,0.6470588235294118,0.3478260869565217,0.0,17
Tom Breese,188,369,0.0,7,3.34,2.81,0.0,1.07,0.61,0.71,1.07,7.03,0.74,0.13,0.13,0.42,0.08,0.5,126.0,49.0,13.0,12,3,0,0.8,0.5094850948509485,0.0,15
Mike Breeden,170,401,0.0,8,5.43,6.38,1.44,0.0,0.42,0.59,0.0,10.45,0.89,0.1,0.01,0.8,0.2,0.0,103.0,55.0,12.0,10,5,0,0.6666666666666666,0.4239401496259352,0.0,15
Martin Bravo,221,559,3.0,14,7.66,5.72,2.6,0.0,0.51,0.86,0.52,7.22,0.92,0.05,0.03,0.42,0.17,0.42,161.0,45.0,15.0,12,3,0,0.8,0.3953488372093023,0.2142857142857142,15
David Branch,137,344,11.0,43,1.66,1.91,2.55,0.0,0.57,0.44,0.18,9.15,0.5,0.35,0.15,0.27,0.41,0.32,65.0,41.0,31.0,22,6,0,0.7857142857142857,0.3982558139534883,0.2558139534883721,28
Marcus Brimage,319,896,0.0,3,3.97,3.64,0.56,0.0,0.57,0.8,0.37,10.05,0.94,0.06,0.01,0.43,0.57,0.0,175.0,83.0,61.0,7,5,0,0.5833333333333334,0.3560267857142857,0.0,12
Jarred Brooks,112,243,16.0,28,2.12,1.66,4.54,0.57,0.63,0.69,0.0,13.23,0.4,0.18,0.42,0.17,0.42,0.42,73.0,32.0,7.0,14,2,0,0.875,0.4609053497942387,0.5714285714285714,16
Henry Briones,178,417,0.0,1,3.47,4.68,0.0,0.58,0.53,0.52,0.29,10.27,0.84,0.11,0.04,0.53,0.16,0.32,99.0,63.0,16.0,19,8,1,0.6785714285714286,0.4268585131894484,0.0,28
Rob Broughton,118,196,0.0,1,2.83,2.54,0.0,3.24,0.52,0.27,0.0,13.9,0.66,0.09,0.25,0.0,0.0,0.0,73.0,22.0,23.0,15,7,1,0.6521739130434783,0.6020408163265306,0.0,23
Will Brooks,493,835,7.0,31,4.26,2.54,2.08,0.26,0.56,0.83,0.0,14.45,0.47,0.33,0.2,0.28,0.5,0.22,297.0,137.0,59.0,18,4,0,0.8181818181818182,0.5904191616766467,0.2258064516129032,22
Damien Brown,242,627,3.0,11,3.66,4.86,0.68,0.68,0.5,0.54,0.45,11.02,0.86,0.05,0.09,0.18,0.35,0.47,159.0,38.0,45.0,17,12,0,0.5862068965517241,0.3859649122807017,0.2727272727272727,29
Todd Brown,43,95,0.0,3,2.15,3.85,0.0,0.0,0.49,0.5,0.0,10.0,0.58,0.42,0.0,0.0,0.0,0.0,14.0,11.0,18.0,15,3,0,0.8333333333333334,0.4526315789473684,0.0,18
TJ Brown,300,686,15.0,34,3.68,2.88,3.86,1.65,0.51,0.41,0.0,13.6,0.74,0.1,0.16,0.25,0.19,0.56,216.0,59.0,25.0,16,9,0,0.64,0.4373177842565597,0.4411764705882353,25
Cody Brundage,66,123,1.0,10,2.65,2.65,1.81,1.2,0.52,0.69,0.6,6.23,0.44,0.09,0.47,0.5,0.13,0.38,52.0,10.0,4.0,8,2,0,0.8,0.5365853658536586,0.1,10
